age,monthly_income,employment_years,credit_score,existing_emi,loan_amount,loan_term_months,employment_type,city_tier,loan_approved
59,34456,11,681,20710,444813,72,Self-employed,Tier 1,1
49,49367,3,579,22219,585888,72,Self-employed,Tier 3,0
35,72624,7,707,5057,971251,60,Salaried,Tier 2,1
28,159178,8,827,18733,915847,72,Self-employed,Tier 3,0
41,86008,4,752,19157,1871294,60,Salaried,Tier 3,1
59,143926,19,615,35030,521769,60,Salaried,Tier 2,1
39,133395,17,657,19613,730175,24,Salaried,Tier 2,1
43,134492,10,817,43076,789860,24,Self-employed,Tier 1,1
31,90240,14,771,49544,668636,60,Self-employed,Tier 2,1
31,82315,8,841,17492,155736,84,Salaried,Tier 3,1
44,218321,16,567,20746,1909722,48,Salaried,Tier 3,1
56,219659,11,639,5188,462106,36,Self-employed,Tier 2,1
60,28756,6,730,41570,505040,12,Salaried,Tier 1,1
44,217083,9,804,29680,185797,24,Self-employed,Tier 3,1
23,54378,9,802,37825,486421,60,Salaried,Tier 2,1
42,153327,12,806,36766,1774620,12,Salaried,Tier 1,1
22,163556,18,636,8864,535077,24,Self-employed,Tier 1,1
44,143703,10,639,36445,1025415,36,Self-employed,Tier 3,1
50,74549,12,786,5796,1065582,48,Self-employed,Tier 3,1
58,183575,20,619,47218,685861,60,Self-employed,Tier 1,0
22,91794,7,593,39131,325236,36,Self-employed,Tier 1,0
41,249804,7,749,8123,408062,84,Salaried,Tier 1,1
53,63113,3,701,8222,1007274,24,Salaried,Tier 2,1
32,92069,14,635,24074,75457,60,Self-employed,Tier 3,0
42,247189,10,568,46422,908099,12,Self-employed,Tier 1,0
45,154321,10,650,29825,1451471,84,Salaried,Tier 3,1
47,168273,0,644,36839,112894,84,Salaried,Tier 3,1
48,143541,16,803,41576,635593,72,Self-employed,Tier 3,1
36,207648,14,579,2786,1766548,48,Self-employed,Tier 1,1
35,27686,19,798,33638,808201,84,Salaried,Tier 2,1
23,71363,5,582,36964,259699,24,Self-employed,Tier 1,0
57,115543,14,778,44564,1068143,48,Salaried,Tier 3,1
27,149733,8,561,25988,1937145,60,Salaried,Tier 1,0
41,193915,13,667,35507,50559,72,Self-employed,Tier 1,1
29,113673,17,704,33708,1951257,36,Salaried,Tier 3,1
59,210035,16,795,33108,87361,48,Salaried,Tier 3,1
38,60828,17,796,29715,917152,12,Salaried,Tier 1,1
24,66604,4,578,23806,851693,24,Self-employed,Tier 1,0
45,28526,19,710,36901,1905380,12,Salaried,Tier 1,0
34,86910,19,784,17043,1416075,48,Self-employed,Tier 1,1
29,43592,8,739,10225,1851612,72,Salaried,Tier 2,1
46,46982,10,666,9752,410704,36,Salaried,Tier 1,1
22,18207,0,820,3457,1811856,36,Salaried,Tier 2,1
40,106733,17,807,42616,293950,12,Salaried,Tier 3,1
48,248008,5,729,9241,1524336,60,Salaried,Tier 2,1
27,142982,1,721,453,50037,60,Self-employed,Tier 3,1
28,86619,14,823,9896,748392,72,Self-employed,Tier 2,1
55,178400,20,808,21826,1570025,36,Salaried,Tier 3,1
34,64479,13,684,10976,353564,12,Self-employed,Tier 1,1
37,169175,4,720,48640,1606026,12,Self-employed,Tier 2,1
56,188963,5,759,33586,671531,12,Salaried,Tier 2,1
60,159826,5,785,4868,703668,48,Self-employed,Tier 3,1
24,249055,17,735,16396,1357006,72,Self-employed,Tier 3,1
22,99437,13,644,31634,608888,60,Self-employed,Tier 2,1
26,116540,9,560,12171,753645,60,Self-employed,Tier 3,1
24,90982,13,617,24111,767368,48,Salaried,Tier 1,0
49,120747,12,759,33688,1974528,24,Self-employed,Tier 2,0
38,204994,2,745,21304,1890175,48,Salaried,Tier 1,1
46,66231,5,647,42274,1355927,72,Salaried,Tier 2,0
54,47301,7,642,39243,574720,12,Self-employed,Tier 1,0
30,240724,11,571,28253,835838,48,Salaried,Tier 2,1
56,211783,12,721,30980,643975,12,Self-employed,Tier 3,1
34,190395,10,683,2017,818576,72,Salaried,Tier 2,1
51,36752,11,574,7957,908379,84,Self-employed,Tier 1,1
35,246984,0,734,48998,932756,72,Self-employed,Tier 2,1
28,231277,16,634,42188,1935911,36,Salaried,Tier 1,1
34,116452,15,604,4792,1583951,12,Self-employed,Tier 1,1
43,162467,10,800,13237,235221,60,Self-employed,Tier 1,1
60,235029,12,693,16251,793000,48,Self-employed,Tier 3,1
41,139237,17,716,19252,1286416,84,Self-employed,Tier 2,1
36,74273,10,773,10707,503400,72,Salaried,Tier 1,1
38,109878,11,769,34206,902224,12,Salaried,Tier 3,1
44,22895,5,728,28740,345583,84,Salaried,Tier 1,1
46,137968,8,668,3543,1262905,24,Self-employed,Tier 2,1
45,133700,15,814,44135,1072697,36,Salaried,Tier 3,1
49,94559,3,699,48288,1274322,24,Self-employed,Tier 1,0
35,28699,2,764,39111,1411968,72,Self-employed,Tier 1,0
21,214133,15,746,35031,1575394,24,Self-employed,Tier 1,1
45,27715,11,591,42929,750731,24,Salaried,Tier 2,0
27,37169,10,602,211,1852218,36,Salaried,Tier 3,1
29,136413,4,800,46577,1559788,36,Salaried,Tier 3,1
44,165235,17,844,39795,1791233,36,Salaried,Tier 3,1
21,137264,18,820,331,1021777,84,Self-employed,Tier 1,1
28,23782,5,672,23244,1553048,36,Salaried,Tier 3,0
44,237249,17,815,8169,609031,24,Salaried,Tier 1,1
31,142481,5,578,22104,249824,60,Salaried,Tier 2,1
37,233400,3,584,41901,654091,60,Salaried,Tier 3,1
28,53585,11,555,14591,1960125,36,Self-employed,Tier 1,1
55,48682,18,660,31711,1299699,84,Salaried,Tier 3,1
55,196936,1,843,48893,72076,48,Salaried,Tier 3,1
53,147992,16,626,727,291424,12,Salaried,Tier 2,1
25,102416,10,696,21359,256384,72,Self-employed,Tier 3,1
59,204186,10,616,43822,300699,84,Salaried,Tier 2,1
48,145810,20,557,36011,923915,48,Salaried,Tier 3,1
27,56067,15,671,49800,708323,72,Salaried,Tier 3,1
29,191757,1,724,37863,1479937,48,Self-employed,Tier 3,1
28,36073,1,728,46577,194938,48,Self-employed,Tier 3,1
32,54035,7,634,22998,940936,60,Salaried,Tier 3,1
54,214049,12,594,10929,213377,12,Salaried,Tier 3,1
53,108373,9,685,14842,1029907,48,Self-employed,Tier 2,1
43,101362,7,565,23519,263968,36,Self-employed,Tier 2,0
44,108517,3,744,17393,1990657,72,Self-employed,Tier 1,1
57,83450,14,558,34318,438388,84,Self-employed,Tier 3,0
55,28382,0,564,8995,344957,60,Self-employed,Tier 2,0
60,153509,10,651,28656,1951737,72,Salaried,Tier 3,1
42,220043,6,775,47934,1028190,36,Salaried,Tier 3,1
47,213684,16,827,40260,840944,36,Salaried,Tier 2,1
55,239427,19,662,45269,300703,48,Salaried,Tier 3,1
21,79929,17,550,15567,1514458,36,Self-employed,Tier 2,0
55,246590,11,815,28840,1246278,12,Self-employed,Tier 2,1
57,116864,8,757,23831,167907,36,Self-employed,Tier 1,1
34,161401,4,659,13265,255591,48,Self-employed,Tier 1,1
23,43169,9,749,5424,443852,72,Self-employed,Tier 1,1
21,105468,3,561,20625,1035461,36,Salaried,Tier 1,0
25,52594,4,737,14086,1687455,60,Salaried,Tier 3,1
46,226029,9,703,29187,573869,84,Salaried,Tier 3,1
34,209703,10,828,35929,1308209,60,Salaried,Tier 1,1
59,63033,20,720,20539,1566608,60,Salaried,Tier 2,1
47,81133,9,683,25103,1856423,72,Self-employed,Tier 2,1
29,222237,7,574,27874,847783,24,Self-employed,Tier 2,1
35,91861,1,567,9215,1743397,84,Self-employed,Tier 2,0
35,201362,7,739,39385,677915,60,Self-employed,Tier 3,1
46,243103,15,690,22044,1546976,60,Self-employed,Tier 2,1
33,49750,4,592,11926,1226957,24,Salaried,Tier 2,1
52,244227,2,833,47860,1865128,72,Salaried,Tier 1,1
59,58461,11,695,31501,1456427,84,Salaried,Tier 2,0
52,222872,12,641,29774,1036684,60,Self-employed,Tier 3,1
24,96222,12,728,25008,1442398,48,Self-employed,Tier 2,1
50,130020,9,605,48928,647597,72,Self-employed,Tier 2,0
57,42226,3,704,17560,1847938,84,Self-employed,Tier 3,1
43,24721,8,709,24340,1895786,60,Salaried,Tier 1,1
59,205226,1,660,24976,717861,60,Self-employed,Tier 3,1
35,38609,18,686,48406,949145,24,Salaried,Tier 1,1
49,201202,0,781,27626,1586697,84,Self-employed,Tier 2,1
56,148513,6,769,32720,86382,48,Salaried,Tier 1,1
33,221981,16,617,35001,796714,72,Self-employed,Tier 1,1
52,122211,2,798,4700,912219,36,Self-employed,Tier 1,1
27,204321,19,555,43795,1121917,12,Salaried,Tier 2,1
42,197967,19,829,7860,1768303,48,Salaried,Tier 1,1
48,243545,20,643,7526,1324856,36,Self-employed,Tier 1,1
22,154728,2,818,38327,1753930,48,Salaried,Tier 2,1
26,142865,2,746,39500,1299516,84,Self-employed,Tier 3,1
48,92520,16,574,2513,455218,36,Self-employed,Tier 3,0
48,212812,6,697,7830,1882116,84,Salaried,Tier 3,1
40,82309,13,667,14781,660108,36,Self-employed,Tier 2,1
50,47984,16,615,7910,1158525,48,Self-employed,Tier 2,1
31,136947,17,850,15847,458916,24,Salaried,Tier 3,1
48,222894,12,724,5649,784665,48,Self-employed,Tier 1,1
45,23901,19,625,9120,1685407,84,Self-employed,Tier 3,0
59,180624,19,663,1951,533075,48,Self-employed,Tier 2,1
53,240317,20,660,10165,1912618,36,Self-employed,Tier 1,1
21,49055,17,798,14352,1040003,12,Salaried,Tier 1,1
47,186757,3,752,9746,1884742,36,Salaried,Tier 2,1
33,223037,0,696,43738,562472,60,Salaried,Tier 1,1
23,163788,17,584,28997,1827310,48,Self-employed,Tier 3,1
59,132099,0,575,41954,377370,72,Salaried,Tier 2,0
26,29138,12,787,24183,881599,48,Salaried,Tier 2,1
28,184370,19,563,8804,1307427,24,Salaried,Tier 2,1
47,200184,19,594,27169,1257587,84,Self-employed,Tier 2,1
29,41429,9,765,595,504581,72,Salaried,Tier 1,1
57,68200,10,782,29592,117381,36,Salaried,Tier 2,1
53,220380,8,742,40643,883142,24,Self-employed,Tier 2,1
44,197316,8,600,20823,328910,48,Self-employed,Tier 1,1
35,119268,4,763,5972,152416,36,Self-employed,Tier 2,1
52,35347,0,700,15882,1635644,36,Self-employed,Tier 1,1
52,165992,16,824,858,1147034,60,Self-employed,Tier 1,1
44,49822,1,625,5519,892653,60,Self-employed,Tier 2,0
32,195731,12,769,23769,1610290,12,Salaried,Tier 3,1
59,58108,8,736,25020,1600184,60,Salaried,Tier 2,1
22,146955,3,838,42748,1886517,84,Self-employed,Tier 3,1
23,238171,4,577,37085,401637,72,Self-employed,Tier 1,1
57,25967,10,729,19838,1078212,36,Salaried,Tier 3,0
37,128719,18,802,44912,477562,60,Self-employed,Tier 2,1
22,29871,20,675,12879,953282,12,Self-employed,Tier 2,1
22,243371,2,726,33798,227946,48,Salaried,Tier 3,1
48,226524,11,586,42255,993652,72,Self-employed,Tier 2,1
43,223342,18,648,24290,1130109,60,Self-employed,Tier 3,1
57,182685,18,647,46073,944576,36,Salaried,Tier 1,1
52,46179,12,676,10255,1483122,48,Salaried,Tier 3,1
53,201260,6,717,1447,914899,84,Salaried,Tier 3,1
21,73099,14,629,43005,313503,36,Salaried,Tier 3,1
39,53262,6,843,29195,169119,48,Salaried,Tier 3,1
22,96213,7,675,2850,271140,84,Self-employed,Tier 1,1
46,135407,4,699,28400,1381064,84,Self-employed,Tier 1,1
52,167340,20,565,11953,954931,72,Self-employed,Tier 1,0
26,226938,13,577,40874,381922,36,Self-employed,Tier 3,1
52,104269,3,722,23535,332745,60,Self-employed,Tier 1,1
24,78545,9,595,10000,1344416,60,Salaried,Tier 2,1
31,241894,19,785,9503,1810921,12,Self-employed,Tier 1,1
37,221218,14,763,15493,1461733,48,Self-employed,Tier 3,1
58,221038,17,634,4055,1871046,12,Self-employed,Tier 2,1
44,57922,19,831,38170,1610121,24,Self-employed,Tier 3,1
25,228436,12,781,32408,1391502,60,Self-employed,Tier 2,1
54,60913,7,634,42049,1733959,48,Salaried,Tier 3,0
26,115033,8,614,34440,493035,72,Self-employed,Tier 3,1
42,122792,15,683,28251,1051920,12,Self-employed,Tier 2,1
31,204749,18,700,4532,409267,72,Self-employed,Tier 1,1
36,198913,15,664,4924,1929466,72,Self-employed,Tier 2,1
53,195404,6,613,48037,960657,72,Self-employed,Tier 2,1
29,241134,13,707,12546,713440,12,Self-employed,Tier 2,1
26,137863,13,626,26579,1056247,24,Salaried,Tier 2,1
36,244766,3,695,6085,739317,84,Self-employed,Tier 2,1
49,174104,14,774,12390,1505700,84,Salaried,Tier 3,1
23,186918,2,652,13280,408332,12,Salaried,Tier 3,1
40,208546,4,850,24118,801240,84,Self-employed,Tier 1,1
56,62936,0,637,4864,171292,36,Self-employed,Tier 1,1
39,178866,2,717,42084,140570,84,Self-employed,Tier 2,1
46,210660,14,719,33989,534540,60,Salaried,Tier 1,1
23,220056,7,684,35628,1045791,12,Self-employed,Tier 1,1
39,199403,3,599,26849,173791,84,Self-employed,Tier 2,1
40,243469,1,683,27566,1014986,12,Self-employed,Tier 3,1
52,46141,9,686,10702,1591121,24,Salaried,Tier 3,1
27,158146,3,794,41196,565689,36,Salaried,Tier 1,1
53,155478,2,658,15385,934807,12,Self-employed,Tier 3,1
60,115359,1,836,9336,1661178,60,Salaried,Tier 3,1
59,141279,16,570,31225,806349,84,Self-employed,Tier 1,0
38,172363,20,639,36021,780281,60,Salaried,Tier 2,1
60,59568,19,845,3782,1575560,84,Self-employed,Tier 1,1
21,115539,12,661,23341,1469600,12,Salaried,Tier 1,1
31,64851,4,850,49918,412470,72,Self-employed,Tier 1,1
48,249014,20,626,24094,196903,84,Self-employed,Tier 2,1
45,72823,8,726,49111,1947459,72,Salaried,Tier 2,1
43,41312,5,697,23866,95708,36,Salaried,Tier 2,1
51,192180,4,650,19049,1902690,60,Salaried,Tier 2,0
50,215990,9,795,42719,1463126,72,Salaried,Tier 1,1
55,183243,7,666,30992,1574616,60,Salaried,Tier 3,1
27,190851,6,641,49037,1265442,84,Self-employed,Tier 1,1
36,217900,6,577,14567,1420092,84,Self-employed,Tier 2,1
46,116723,5,574,44451,1662341,36,Salaried,Tier 3,0
22,30411,20,607,3513,533157,84,Self-employed,Tier 1,1
21,75009,19,846,49647,1268385,36,Self-employed,Tier 3,1
32,164494,2,683,13335,183692,72,Salaried,Tier 2,1
25,191540,18,798,44140,544166,84,Self-employed,Tier 3,1
57,50371,14,587,38590,808529,12,Self-employed,Tier 3,1
52,75022,3,624,14837,1875969,48,Salaried,Tier 2,1
29,89229,11,691,12122,1264705,24,Salaried,Tier 3,1
55,117071,5,717,34840,1007642,48,Self-employed,Tier 1,1
39,200268,18,808,31007,784750,48,Salaried,Tier 3,1
36,229426,3,774,41297,103024,60,Self-employed,Tier 1,1
23,114774,14,701,27684,1501469,36,Salaried,Tier 3,1
40,245482,8,568,26393,1273759,60,Salaried,Tier 3,0
